time,dt,error,p,i,d
1763500381.3154652,0.05890703201293945,[-0.03266487 -0.08276329],[-0.01959892 -0.04965797],[0.63903589 0.04575491],[-0.25073913 -0.1182551 ]
1763500381.3728049,0.05733966827392578,[-0.04697409 -0.08567785],[-0.02818445 -0.05140671],[0.63337958 0.03543816],[-0.54901389 -0.11182525]
1763500381.4317555,0.05895066261291504,[-0.05859375 -0.090625  ],[-0.03515625 -0.054375  ],[0.62612589 0.02421911],[-0.4336382  -0.18462453]
1763500381.4909906,0.0592350959777832,[-0.07209902 -0.09557838],[-0.04325941 -0.05734703],[0.61715723 0.01232976],[-0.5015876  -0.18396941]
1763500381.5499709,0.05898022651672363,[-0.0790761  -0.09626357],[-0.04744566 -0.05775814],[6.07362981e-01 4.06700594e-04],[-0.26024957 -0.02555777]
1763500381.607033,0.05706214904785156,[-0.0905725  -0.10100168],[-0.0543435  -0.06060101],[ 0.59650963 -0.01169638],[-0.44323746 -0.18267518]
1763500381.6649983,0.05796527862548828,[-0.10162654 -0.10729167],[-0.06097592 -0.064375  ],[ 0.58413893 -0.02475668],[-0.41954229 -0.23872877]
1763500381.7231972,0.05819892883300781,[-0.1124475  -0.11350168],[-0.0674685  -0.06810101],[ 0.57039585 -0.0386286 ],[-0.40904729 -0.23474694]
1763500381.7818954,0.058698177337646484,[-0.11827364 -0.11506608],[-0.07096418 -0.06903965],[ 0.55581671 -0.05281236],[-0.21836294 -0.05863378]
1763500381.8408237,0.05892825126647949,[-0.13034039 -0.12013988],[-0.07820423 -0.07208393],[ 0.53968718 -0.06767959],[-0.45049429 -0.18942296]
1763500381.8992262,0.05840253829956055,[-0.13984375 -0.12916667],[-0.08390625 -0.0775    ],[ 0.52253599 -0.08352128],[-0.3579879  -0.34003522]
1763500381.9583228,0.059096574783325195,[-0.15197783 -0.13578587],[-0.0911867  -0.08147152],[ 0.50367512 -0.10037268],[-0.45171764 -0.24641425]
1763500382.017682,0.05935931205749512,[-0.15720663 -0.14022109],[-0.09432398 -0.08413265],[ 0.4840786  -0.11785188],[-0.19379221 -0.16438005]
1763500382.076828,0.05914592742919922,[-0.16963463 -0.14565659],[-0.10178078 -0.08739395],[ 0.46300888 -0.13594337],[-0.4622735  -0.20217955]
1763500382.1344688,0.057640790939331055,[-0.18011365 -0.1556345 ],[-0.10806819 -0.0933807 ],[ 0.4412069  -0.15478225],[-0.39995715 -0.38083114]
1763500382.1919742,0.05750536918640137,[-0.19184041 -0.16264153],[-0.11510425 -0.09758492],[ 0.41804001 -0.17442305],[-0.44863418 -0.2680699 ]
1763500382.248685,0.05671072006225586,[-0.19735074 -0.16623828],[-0.11841044 -0.09974297],[ 0.39453702 -0.19422078],[-0.21376428 -0.13953009]
1763500382.3070896,0.05840468406677246,[-0.2087296  -0.17323367],[-0.12523776 -0.1039402 ],[ 0.36893637 -0.21546786],[-0.42862132 -0.2635039 ]
1763500382.3649297,0.05784010887145996,[-0.21748209 -0.184375  ],[-0.13048925 -0.110625  ],[ 0.34252007 -0.23786283],[-0.33290871 -0.42377047]
1763500382.4233415,0.05841183662414551,[-0.21946702 -0.17309074],[-0.13168021 -0.10385445],[ 0.31559918 -0.25909498],[-0.07475961  0.42500569]
1763500382.4818685,0.05852699279785156,[-0.21713543 -0.17288195],[-0.13028126 -0.10372917],[ 0.28891178 -0.28034333],[0.08764331 0.00784835]
1763500382.5392559,0.057387351989746094,[-0.21546874 -0.15822919],[-0.12928124 -0.09493752],[ 0.26294491 -0.29941207],[0.06389414 0.56172785]
1763500382.597707,0.058451175689697266,[-0.2119411  -0.14811916],[-0.12716466 -0.0888715 ],[ 0.23692967 -0.31759333],[0.13277425 0.38052379]
1763500382.6573944,0.05968737602233887,[-0.20985074 -0.13290494],[-0.12591044 -0.07974297],[ 0.21062625 -0.33425209],[0.07704794 0.56077663]
1763500382.717437,0.060042619705200195,[-0.20776043 -0.12913195],[-0.12465626 -0.07747917],[ 0.18442984 -0.35053428],[0.07659033 0.13824476]
1763500382.776999,0.059561967849731445,[-0.20450683 -0.11550452],[-0.1227041  -0.06930271],[ 0.1588501 -0.3649816],[0.12017613 0.50334728]
1763500382.8373365,0.06033754348754883,[-0.20234375 -0.096875  ],[-0.12140625 -0.058125  ],[ 0.13321136 -0.37725652],[0.07886911 0.67926103]
1763500382.898469,0.06113243103027344,[-0.19865417 -0.08132222],[-0.1191925  -0.04879333],[ 0.10770851 -0.38769651],[0.13277838 0.55970464]
1763500382.9581084,0.05963945388793945,[-0.19609375 -0.071875  ],[-0.11765625 -0.043125  ],[ 0.08314917 -0.39669834],[0.0944498  0.34849237]
1763500383.0176904,0.05958199501037598,[-0.19140625 -0.05416667],[-0.11484375 -0.0325    ],[ 0.0592     -0.40347579],[0.17308081 0.65386084]
1763500383.0780118,0.06032133102416992,[-0.18671875 -0.034375  ],[-0.11203125 -0.020625  ],[ 0.03554744 -0.40783024],[0.17095942 0.72182868]
1763500383.1368306,0.058818817138671875,[-0.18079391 -0.01474301],[-0.10847634 -0.00884581],[ 0.01321586 -0.40965129],[0.22160695 0.73429524]
1763500383.1940103,0.05717968940734863,[-0.17399702  0.00741727],[-0.10439821  0.00445036],[-0.00767724 -0.40876064],[0.26151149 0.85262105]
1763500383.2537608,0.05975055694580078,[-0.17109375  0.01979167],[-0.10265625  0.011875  ],[-0.02914542 -0.40627726],[0.10689767 0.45562224]
1763500383.3131456,0.059384822845458984,[-0.16223078  0.04400765],[-0.09733847  0.02640459],[-0.04937692 -0.40078915],[0.32834213 0.89711753]
1763500383.3729239,0.05977821350097656,[-0.15444455  0.06909908],[-0.09266673  0.04145945],[-0.068765   -0.39211485],[0.28655419 0.92343235]
1763500383.4328694,0.05994558334350586,[-0.1453876  0.0975118],[-0.08723256  0.05850708],[-0.08706723 -0.3798395 ],[0.33238961 1.04274558]
1763500383.4911382,0.05826878547668457,[-0.13618083  0.12291667],[-0.0817085  0.07375  ],[-0.10373092 -0.36479887],[0.34761147 0.95918777]
1763500383.5500588,0.05892062187194824,[-0.13046875  0.13625991],[-0.07828125  0.08175594],[-0.11987425 -0.34793899],[0.21327976 0.49821479]
1763500383.60827,0.05821108818054199,[-0.1205338   0.16545642],[-0.07232028  0.09927385],[-0.1346087  -0.32771305],[0.3754764  1.10343817]
1763500383.665715,0.05744504928588867,[-0.10956712  0.190625  ],[-0.06574027  0.114375  ],[-0.14782628 -0.30471708],[0.41999618 0.96389283]
1763500383.724143,0.058428049087524414,[-0.09914451  0.22130804],[-0.0594867   0.13278482],[-0.1599912  -0.27756282],[0.39244413 1.15531308]
1763500383.7838447,0.05970168113708496,[-0.09366035  0.23125   ],[-0.05619621  0.13875   ],[-0.17173373 -0.2485702 ],[0.20209036 0.36636005]
1763500383.84265,0.058805227279663086,[-0.08201323  0.25439161],[-0.04920794  0.15263496],[-0.18186163 -0.21715513],[0.4357382  0.86576546]
1763500383.9011261,0.05847620964050293,[-0.07109375  0.27291667],[-0.04265625  0.16375   ],[-0.19059194 -0.18364095],[0.41081401 0.69695236]
1763500383.9576616,0.05653548240661621,[-0.06015625  0.28971354],[-0.03609375  0.17382812],[-0.19773396 -0.14924485],[0.42561766 0.65362713]
1763500384.0176697,0.06000804901123047,[-0.05569859  0.29849639],[-0.03341915  0.17909783],[-0.20475293 -0.11162926],[0.16342577 0.32199455]
1763500384.076078,0.058408260345458984,[-0.04463558  0.30896595],[-0.02678135  0.18537957],[-0.21022781 -0.07373232],[0.41669804 0.3943456 ]
1763500384.1334968,0.0574188232421875,[-0.03430519  0.31881205],[-0.02058311  0.19128723],[-0.21436431 -0.03529011],[0.39580853 0.37725291]
1763500384.1930983,0.059601545333862305,[-0.02125244  0.31547564],[-0.01275146  0.18928538],[-0.21702434  0.00419585],[ 0.48180041 -0.12315302]
1763500384.2523127,0.05921435356140137,[-0.01585536  0.31564218],[-0.00951322  0.18938531],[-0.21899595  0.043446  ],[0.2005186  0.00618761]
1763500384.3118026,0.05948996543884277,[-0.0046422  0.3097741],[-0.00278532  0.18586446],[-0.2195759   0.08214574],[ 0.41467415 -0.21700782]
1763500384.3690512,0.057248592376708984,[0.00778284 0.29997363],[0.0046697  0.17998418],[-0.21864023  0.11820919],[ 0.47748057 -0.37662105]
1763500384.4277022,0.058650970458984375,[0.02271371 0.28217557],[0.01362823 0.16930534],[-0.21584265  0.15296391],[ 0.5600574 -0.6676058]
1763500384.486926,0.05922389030456543,[0.0344409  0.26360755],[0.02066454 0.15816453],[-0.21155923  0.18574883],[ 0.43563194 -0.68974953]
1763500384.5450277,0.058101654052734375,[0.048491   0.24895833],[0.0290946 0.149375 ],[-0.20564267  0.2161251 ],[ 0.53200249 -0.55468775]
1763500384.6029058,0.05787801742553711,[0.05428534 0.22923447],[0.0325712  0.13754068],[-0.19904462  0.24398714],[ 0.22024831 -0.74972321]
1763500384.6597834,0.05687761306762695,[0.06484375 0.209375  ],[0.03890625 0.125625  ],[-0.19129949  0.26899551],[ 0.40839463 -0.76815531]
1763500384.7179472,0.05816388130187988,[0.07734375 0.17916667],[0.04640625 0.1075    ],[-0.18185241  0.29087967],[ 0.47280201 -1.14260486]
1763500384.7750869,0.05713963508605957,[0.08446407 0.16487853],[0.05067844 0.09892712],[-0.17171729  0.31066398],[ 0.2741479  -0.55012438]
1763500384.833559,0.0584721565246582,[0.09429584 0.1399992 ],[0.0565775  0.08399952],[-0.16013856  0.3278547 ],[ 0.36991755 -0.9360784 ]
1763500384.891144,0.05758500099182129,[0.1046015  0.11137231],[0.0627609  0.06682339],[-0.14748926  0.34132278],[ 0.39372175 -1.09367284]
1763500384.9483051,0.05716109275817871,[0.10771277 0.09991134],[0.06462766 0.0599468 ],[-0.1345596   0.35331597],[ 0.11974557 -0.44110665]
1763500385.0047235,0.056418418884277344,[0.11385915 0.07798945],[0.06831549 0.04679367],[-0.12106972  0.36255606],[ 0.23967427 -0.85482998]
1763500385.0625017,0.057778120040893555,[0.11923492 0.05761493],[0.07154095 0.03456896],[-0.10660246  0.36954671],[ 0.20469144 -0.77579446]
1763500385.1223822,0.05988049507141113,[0.12208641 0.03918384],[0.07325184 0.0235103 ],[-0.09125021  0.37447404],[ 0.10476316 -0.6771554 ]
1763500385.1802087,0.05782651901245117,[0.12383356 0.03333667],[0.07430014 0.020002  ],[-0.0762124  0.3785223],[ 0.06647022 -0.2224545 ]
1763500385.2385814,0.05837273597717285,[0.12526939 0.01997128],[0.07516163 0.01198277],[-0.06085653  0.38097044],[ 0.05411468 -0.5037261 ]
1763500385.2977211,0.05913972854614258,[0.1251343  0.01048829],[0.07508058 0.00629297],[-0.04531568  0.38227301],[-0.00502528 -0.35276748]
1763500385.356293,0.058571815490722656,[0.12446489 0.00225458],[0.07467894 0.00135275],[-0.03000639  0.38255033],[-0.02514345 -0.30926399]
1763500385.4144049,0.05811190605163574,[ 0.12377832 -0.00306908],[ 0.07426699 -0.00184145],[-0.01490111  0.38217579],[-0.02599231 -0.20154324]
1763500385.4708774,0.0564725399017334,[ 0.11959283 -0.00339731],[ 0.0717557  -0.00203838],[-0.00071831  0.3817729 ],[-0.16305392 -0.01278658]
1763500385.527886,0.05700850486755371,[ 0.11596422 -0.00987355],[ 0.06957853 -0.00592413],[0.01316468 0.38059086],[-0.14003078 -0.24992298]
1763500385.5865166,0.05863070487976074,[ 0.10990288 -0.0094876 ],[ 0.06594173 -0.00569256],[0.02669641 0.3794227 ],[-0.22743964  0.01448208]
1763500385.6454942,0.058977603912353516,[ 0.1074347 -0.0086112],[ 0.06446082 -0.00516672],[0.04000252 0.37835618],[-0.0920688   0.03269154]
1763500385.703958,0.05846381187438965,[ 0.10145712 -0.00746578],[ 0.06087427 -0.00447947],[0.05245882 0.37743958],[-0.22493714  0.04310253]
1763500385.7613802,0.05742216110229492,[ 0.09453125 -0.0075072 ],[ 0.05671875 -0.00450432],[0.06385801 0.37653431],[-0.26534898 -0.00158696]
1763500385.8207717,0.05939149856567383,[ 0.08728795 -0.00648095],[ 0.05237277 -0.00388857],[0.07474475 0.37572599],[-0.26830875  0.03801466]
1763500385.878834,0.05806231498718262,[ 0.08359375 -0.00520833],[ 0.05015625 -0.003125  ],[0.08493741 0.37509094],[-0.13997446  0.04821979]
1763500385.939111,0.06027698516845703,[ 0.07625937 -0.00251026],[ 0.04575562 -0.00150616],[0.09459045 0.37477318],[-0.26769132  0.0984747 ]
1763500385.998454,0.05934309959411621,[ 0.06832681 -0.0013238 ],[ 0.04099608 -0.00079428],[0.10310537 0.37460821],[-0.29408051  0.04398533]
1763500386.055446,0.0569918155670166,[ 0.06171875 -0.00208333],[ 0.03703125 -0.00125   ],[0.11049204 0.37435887],[-0.25508444 -0.02931971]
1763500386.1120255,0.05657958984375,[ 0.05916295 -0.00439761],[ 0.03549777 -0.00263857],[0.11752162 0.37383636],[-0.09937787 -0.08998685]
1763500386.169288,0.057262420654296875,[ 0.05150862 -0.00524426],[ 0.03090517 -0.00314655],[0.12371558 0.37320573],[-0.29407651 -0.03252759]
1763500386.2266958,0.05740785598754883,[ 0.04291348 -0.0076314 ],[ 0.02574809 -0.00457884],[0.12888908 0.37228572],[-0.3293851  -0.09148073]
1763500386.2851303,0.058434486389160156,[ 0.03382502 -0.00771071],[ 0.02029501 -0.00462643],[0.13303983 0.37133952],[-0.34217176 -0.00298609]
1763500386.341756,0.0566258430480957,[ 0.03034472 -0.01145833],[ 0.01820683 -0.006875  ],[0.13664825 0.36997696],[-0.13521461 -0.14560081]
1763500386.3997276,0.05797147750854492,[ 0.02174239 -0.01222763],[ 0.01304543 -0.00733658],[0.13929517 0.36848837],[-0.32645593 -0.0291946 ]
1763500386.4583669,0.0586392879486084,[ 0.01567526 -0.0183356 ],[ 0.00940516 -0.01100136],[0.14122547 0.36623047],[-0.22762371 -0.22915567]
1763500386.516425,0.05805802345275879,[ 0.00901246 -0.02269815],[ 0.00540748 -0.01361889],[0.14232428 0.36346307],[-0.25247424 -0.16531071]
1763500386.574607,0.0581820011138916,[ 0.00703125 -0.02708333],[ 0.00421875 -0.01625   ],[0.14318337 0.36015397],[-0.07491429 -0.1658143 ]
1763500386.6326313,0.05802440643310547,[ 0.00103803 -0.03368301],[ 0.00062282 -0.02020981],[0.14330986 0.35604966],[-0.22723354 -0.25022742]
1763500386.692194,0.05956268310546875,[-0.00481658 -0.03779634],[-0.00288995 -0.0226778 ],[0.14270739 0.35132203],[-0.21624504 -0.15192925]
1763500386.7515585,0.05936455726623535,[-0.00714288 -0.04315478],[-0.00428573 -0.02589287],[0.14181692 0.34594211],[-0.08621062 -0.19857929]
1763500386.81109,0.059531450271606445,[-0.01093912 -0.05119139],[-0.00656347 -0.03071484],[0.14044936 0.33954237],[-0.14029116 -0.29699511]
1763500386.8701036,0.05901360511779785,[-0.01436982 -0.05932566],[-0.00862189 -0.0355954 ],[0.13866853 0.33219022],[-0.12789493 -0.30324183]
1763500386.9288614,0.058757781982421875,[-0.01703987 -0.06817996],[-0.01022392 -0.04090797],[0.13656595 0.32377741],[-0.0999716  -0.33152113]
1763500386.9885552,0.05969381332397461,[-0.01815519 -0.07175401],[-0.01089312 -0.04305241],[0.13429007 0.31478254],[-0.04110491 -0.13172081]
1763500387.0477169,0.05916166305541992,[-0.02053723 -0.07987684],[-0.01232234 -0.0479261 ],[0.13173854 0.30485868],[-0.08857912 -0.30205737]
1763500387.1039846,0.056267738342285156,[-0.02246876 -0.08839169],[-0.01348125 -0.05303501],[0.12908358 0.29441412],[-0.07552025 -0.33292023]
1763500387.1610804,0.05709576606750488,[-0.02265625 -0.09583333],[-0.01359375 -0.0575    ],[0.12636707 0.2829236 ],[-0.00722441 -0.28673974]
1763500387.220905,0.05982470512390137,[-0.02146873 -0.10254167],[-0.01288124 -0.061525  ],[0.12366991 0.27004109],[ 0.04366981 -0.24669305]
1763500387.2808144,0.05990934371948242,[-0.02130828 -0.10447909],[-0.01278497 -0.06268745],[0.12098912 0.25689662],[ 0.00589228 -0.07114627]
1763500387.3407617,0.05994725227355957,[-0.0197576  -0.10882009],[-0.01185456 -0.06529205],[0.11850185 0.24319734],[ 0.05690809 -0.15930999]
1763500387.400717,0.05995535850524902,[-0.0194531  -0.10743332],[-0.01167186 -0.06445999],[0.11605259 0.22967082],[0.01117361 0.05088608]
1763500387.4611197,0.060402631759643555,[-0.01724    -0.11149832],[-0.010344   -0.06689899],[0.11386577 0.21552775],[ 0.08060597 -0.14805664]
1763500387.519724,0.05860424041748047,[-0.01640625 -0.11354167],[-0.00984375 -0.068125  ],[0.11184667 0.2015543 ],[ 0.03129892 -0.07670697]
1763500387.5796268,0.05990290641784668,[-0.01521974 -0.11228383],[-0.00913184 -0.0673703 ],[0.10993209 0.18742943],[0.04357603 0.04619529]
1763500387.6391573,0.05953049659729004,[-0.01216722 -0.11431828],[-0.00730033 -0.06859097],[0.10841102 0.17313804],[ 0.11280849 -0.07518452]
1763500387.6987207,0.059563398361206055,[-0.01128178 -0.10878557],[-0.00676907 -0.06527134],[0.10699986 0.1595308 ],[0.03270407 0.20435304]
1763500387.757008,0.05828738212585449,[-0.00801301 -0.10896861],[-0.00480781 -0.06538116],[0.10601904 0.14619267],[ 0.12337638 -0.00690874]
1763500387.8154538,0.05844569206237793,[-0.00675998 -0.10763168],[-0.00405599 -0.06457901],[0.10518934 0.13298239],[0.04716638 0.05032421]
1763500387.8739173,0.05846357345581055,[-0.00441189 -0.10387268],[-0.00264713 -0.06232361],[0.10464768 0.12022958],[0.08835923 0.14145228]
1763500387.9318419,0.057924509048461914,[-0.00234375 -0.09791667],[-0.00140625 -0.05875   ],[0.10436258 0.10831885],[0.07854886 0.2262122 ]
1763500387.9905171,0.058675289154052734,[ 0.00044827 -0.09357923],[ 0.00026896 -0.05614754],[0.10441782 0.09678819],[0.10468554 0.16263002]
1763500388.0504572,0.05994009971618652,[ 0.00317969 -0.09426626],[ 0.00190782 -0.05655975],[0.10481806 0.0849225 ],[ 0.1002521  -0.02521616]
1763500388.108975,0.0585176944732666,[ 0.004919   -0.09009775],[ 0.0029514  -0.05405865],[0.10542254 0.07385065],[0.06539022 0.15671709]
1763500388.1668944,0.05791950225830078,[ 0.00703125 -0.0875    ],[ 0.00421875 -0.0525    ],[0.10627776 0.06320794],[0.08023101 0.09867211]
1763500388.2258255,0.05893111228942871,[ 0.00870848 -0.08481935],[ 0.00522509 -0.05089161],[0.10735548 0.05271109],[0.06261378 0.10007334]
1763500388.2851665,0.0593409538269043,[ 0.0093636 -0.0831082],[ 0.00561816 -0.04986492],[0.10852234 0.04235448],[0.02428809 0.06343884]
1763500388.3440578,0.05889129638671875,[ 0.01062675 -0.08088252],[ 0.00637605 -0.04852951],[0.10983656 0.0323516 ],[0.04718714 0.08314484]
1763500388.4029005,0.05884265899658203,[ 0.01121802 -0.07679984],[ 0.00673081 -0.0460799 ],[0.11122277 0.02286147],[0.02210661 0.15264258]
1763500388.4594362,0.05653572082519531,[ 0.01253848 -0.074167  ],[ 0.00752309 -0.0445002 ],[0.1127114 0.014056 ],[0.05138356 0.10245291]
1763500388.5183072,0.05887103080749512,[ 0.0114593  -0.06789703],[ 0.00687558 -0.04073822],[0.11412811 0.00566194],[-0.04032869  0.23430743]
1763500388.5789282,0.060621023178100586,[ 0.01228228 -0.06641051],[ 0.00736937 -0.03984631],[ 0.11569169 -0.00279239],[0.02986656 0.0539475 ]
1763500388.637748,0.05881977081298828,[ 0.0115489  -0.06293023],[ 0.00692934 -0.03775814],[ 0.11711823 -0.01056563],[-0.02743     0.13017062]
1763500388.6945395,0.05679154396057129,[ 0.01037631 -0.05870743],[ 0.00622579 -0.03522446],[ 0.11835573 -0.01756721],[-0.04542399  0.16358375]
1763500388.7529614,0.05842185020446777,[ 0.01080451 -0.05842196],[ 0.00648271 -0.03505318],[ 0.11968129 -0.02473476],[0.01612478 0.01074985]
1763500388.8100631,0.05710172653198242,[ 0.01118903 -0.0569582 ],[ 0.00671342 -0.03417492],[ 0.12102301 -0.03156482],[0.01481474 0.05639547]
1763500388.86658,0.05651688575744629,[ 0.01015625 -0.05208333],[ 0.00609375 -0.03125   ],[ 0.12222841 -0.03774636],[-0.04020249  0.18976105]
1763500388.923206,0.056626081466674805,[ 0.00937352 -0.05095895],[ 0.00562411 -0.03057537],[ 0.12334306 -0.04380613],[-0.03041005  0.04368377]
1763500388.9804726,0.0572664737701416,[ 0.00907855 -0.04767551],[ 0.00544713 -0.02860531],[ 0.12443484 -0.04953957],[-0.01133189  0.12613945]
1763500389.0385187,0.05804610252380371,[ 0.0078536  -0.04453583],[ 0.00471216 -0.0267215 ],[ 0.12539217 -0.05496834],[-0.0464266   0.11899697]
1763500389.0960457,0.05752706527709961,[ 0.00739479 -0.04443563],[ 0.00443687 -0.02666138],[ 0.12628551 -0.06033647],[-0.01754631  0.00383191]
1763500389.15342,0.05737423896789551,[ 0.00666757 -0.04215272],[ 0.00400054 -0.02529163],[ 0.12708886 -0.06541528],[-0.02788523  0.08753741]
1763500389.2132301,0.05981016159057617,[ 0.00595503 -0.04155375],[ 0.00357302 -0.02493225],[ 0.12783682 -0.07063449],[-0.02620931  0.02203198]
1763500389.2722545,0.05902433395385742,[ 0.00483418 -0.03910573],[ 0.00290051 -0.02346344],[ 0.12843602 -0.07548168],[-0.0417773   0.09124441]
1763500389.3321354,0.059880971908569336,[ 0.00433841 -0.03880761],[ 0.00260304 -0.02328457],[ 0.12898157 -0.08036174],[-0.01821428  0.01095274]
1763500389.3906198,0.05848431587219238,[ 0.0038383  -0.03839073],[ 0.00230298 -0.02303444],[ 0.12945298 -0.08507678],[-0.01881248  0.01568185]
1763500389.449801,0.05918121337890625,[ 0.00411229 -0.03977337],[ 0.00246737 -0.02386402],[ 0.12996406 -0.09001984],[ 0.01018532 -0.05139809]
1763500389.5085926,0.0587916374206543,[ 0.00448489 -0.03983701],[ 0.00269094 -0.02390221],[ 0.13051778 -0.09493821],[ 0.01394282 -0.0023815 ]
1763500389.5685935,0.06000089645385742,[ 0.00370903 -0.03809668],[ 0.00222542 -0.02285801],[ 0.13098512 -0.09973846],[-0.02844784  0.06381109]
1763500389.6260178,0.057424306869506836,[ 0.00359163 -0.03890476],[ 0.00215498 -0.02334286],[ 0.13141824 -0.10443003],[-0.00449764 -0.0309586 ]
1763500389.6842227,0.05820488929748535,[ 0.00426602 -0.0397597 ],[ 0.00255961 -0.02385582],[ 0.13193968 -0.10928987],[ 0.02549029 -0.0323145 ]
1763500389.7428308,0.058608055114746094,[ 0.00330329 -0.03829098],[ 0.00198197 -0.02297459],[ 0.13234624 -0.1140026 ],[-0.03613864  0.05513216]
1763500389.8006566,0.05782580375671387,[ 0.00399904 -0.03910522],[ 0.00239943 -0.02346313],[ 0.13283186 -0.11875132],[ 0.02647013 -0.03097828]
1763500389.8598838,0.05922722816467285,[ 0.00370903 -0.03809668],[ 0.00222542 -0.02285801],[ 0.13329318 -0.12348967],[-0.01077253  0.03746239]
1763500389.9181337,0.05824995040893555,[ 0.00390625 -0.03854167],[ 0.00234375 -0.023125  ],[ 0.13377101 -0.12820428],[ 0.00744865 -0.01680629]
1763500389.9761682,0.058034420013427734,[ 0.0033463  -0.03837306],[ 0.00200778 -0.02302383],[ 0.13417883 -0.13288089],[-0.02122688  0.00639174]
1763500390.0328937,0.056725502014160156,[ 0.00371289 -0.03916626],[ 0.00222774 -0.02349976],[ 0.13462112 -0.13754652],[ 0.01421765 -0.03076299]
1763500390.0911613,0.05826759338378906,[ 0.00379553 -0.03829562],[ 0.00227732 -0.02297737],[ 0.13508555 -0.14223244],[0.00312007 0.03287265]
1763500390.1482887,0.05712747573852539,[ 0.00360131 -0.03773543],[ 0.00216079 -0.02264126],[ 0.13551759 -0.14675947],[-0.00747932  0.02157306]
1763500390.207274,0.058985233306884766,[ 0.0033463  -0.03837306],[ 0.00200778 -0.02302383],[ 0.13593209 -0.15151271],[-0.00951132 -0.02378186]
1763500390.2666533,0.05937933921813965,[ 0.00335274 -0.03838545],[ 0.00201164 -0.02303127],[ 0.13635017 -0.15629924],[ 0.0002385  -0.00045934]
1763500390.3255482,0.05889487266540527,[ 0.0035573  -0.03890769],[ 0.00213438 -0.02334461],[ 0.13679013 -0.16111132],[ 0.00764139 -0.01950782]
1763500390.3845785,0.05903029441833496,[ 0.00342054 -0.03856119],[ 0.00205233 -0.02313671],[ 0.13721416 -0.1658915 ],[-0.00509679  0.01291377]
1763500390.4421291,0.057550668716430664,[ 0.00322194 -0.03801276],[ 0.00193316 -0.02280766],[ 0.13760355 -0.17048558],[-0.00759202  0.02096479]
1763500390.4992957,0.05716657638549805,[ 0.00333624 -0.03835392],[ 0.00200174 -0.02301235],[ 0.13800406 -0.17508997],[ 0.00439864 -0.01312925]
1763500390.558259,0.05896329879760742,[ 0.00252838 -0.03576005],[ 0.00151703 -0.02145603],[ 0.13831713 -0.17951788],[-0.03014225  0.09678067]
1763500390.6178486,0.05958962440490723,[ 0.00302591 -0.03776118],[ 0.00181555 -0.02265671],[ 0.13869579 -0.18424325],[ 0.01836847 -0.07387995]
1763500390.6756516,0.05780291557312012,[ 0.00320287 -0.0382918 ],[ 0.00192172 -0.02297508],[ 0.13908458 -0.18889134],[ 0.00673494 -0.02019576]
1763500390.7328894,0.057237863540649414,[ 0.00357566 -0.03774707],[ 0.0021454  -0.02264824],[ 0.13951437 -0.19342852],[0.01432864 0.02093763]
1763500390.7925224,0.05963301658630371,[ 0.0033463  -0.03837306],[ 0.00200778 -0.02302383],[ 0.13993342 -0.19823395],[-0.00846157 -0.02309429]
1763500390.8496752,0.057152748107910156,[ 0.0036624  -0.03783118],[ 0.00219744 -0.02269871],[ 0.14037299 -0.20277448],[0.01216756 0.02085868]
1763500390.9094775,0.05980229377746582,[ 0.0033463  -0.03837306],[ 0.00200778 -0.02302383],[ 0.14079323 -0.20759355],[-0.01162848 -0.01993454]
1763500390.9671566,0.057679176330566406,[ 0.00321178 -0.03746141],[ 0.00192707 -0.02247684],[ 0.14118226 -0.21213111],[-0.0051307   0.03477213]
1763500391.0240827,0.05692601203918457,[ 0.00371904 -0.03799616],[ 0.00223143 -0.0227977 ],[ 0.14162685 -0.21667335],[ 0.01960388 -0.02066657]
1763500391.0811467,0.057064056396484375,[ 0.00301509 -0.03715541],[ 0.00180905 -0.02229324],[ 0.14198817 -0.22112585],[-0.02713968  0.03241393]
1763500391.1400259,0.05887913703918457,[ 0.00314164 -0.03792108],[ 0.00188498 -0.02275265],[ 0.14237662 -0.22581465],[ 0.0047286  -0.02860914]
1763500391.1980352,0.05800938606262207,[ 0.00319223 -0.0379111 ],[ 0.00191534 -0.02274666],[ 0.14276549 -0.23043297],[0.00191871 0.00037856]
1763500391.2574306,0.05939531326293945,[ 0.00321584 -0.0371851 ],[ 0.0019295  -0.02231106],[ 0.14316661 -0.23507107],[0.00087427 0.02689103]
1763500391.3168106,0.05938005447387695,[ 0.00353432 -0.03853785],[ 0.00212059 -0.02312271],[ 0.14360733 -0.23987667],[ 0.0117995  -0.05011887]
1763500391.374842,0.058031320571899414,[ 0.00301509 -0.03715541],[ 0.00180905 -0.02229324],[ 0.14397477 -0.24440464],[-0.01968422  0.05240932]
1763500391.4348702,0.0600283145904541,[ 0.00314164 -0.03792108],[ 0.00188498 -0.02275265],[ 0.1443708  -0.24918495],[ 0.00463807 -0.02806145]
1763500391.492565,0.05769467353820801,[ 0.00317969 -0.03801626],[ 0.00190782 -0.02280975],[ 0.14475605 -0.25379095],[ 0.00145098 -0.00362926]
1763500391.5500808,0.057515859603881836,[ 0.00290689 -0.03749701],[ 0.00174414 -0.02249821],[ 0.14510715 -0.25831997],[-0.01043463  0.01986124]
