time,dt,error,p,i,d
1763500373.1933758,0.057631731033325195,[-0.07398429 -0.19367644],[-0.04439057 -0.11620586],[ 1.49228663 -0.07521384],[-1.65356815 -0.10426879]
1763500373.2520406,0.058664798736572266,[-0.09609375 -0.196875  ],[-0.05765625 -0.118125  ],[ 1.48044826 -0.09946807],[-0.82913118 -0.11994982]
1763500373.3108733,0.058832645416259766,[-0.14120851 -0.19895573],[-0.0847251  -0.11937344],[ 1.46300215 -0.12404876],[-1.68703042 -0.07780712]
1763500373.3690653,0.05819201469421387,[-0.18882213 -0.20080128],[-0.11329328 -0.12048077],[ 1.43992748 -0.14858733],[-1.80007457 -0.06977265]
1763500373.4279923,0.058927059173583984,[-0.21484375 -0.17916667],[-0.12890625 -0.1075    ],[ 1.41334124 -0.17075864],[-0.97149888  0.80771285]
1763500373.4867733,0.05878090858459473,[-0.22568622 -0.14004084],[-0.13541173 -0.08402451],[ 1.38548256 -0.18804526],[-0.40580227  1.46436683]
1763500373.5453446,0.05857133865356445,[-0.22963543 -0.12496529],[-0.13778126 -0.07497917],[ 1.35723744 -0.20341597],[-0.14833652  0.56625348]
1763500373.601042,0.05569744110107422,[-0.24178214 -0.08662542],[-0.14506928 -0.05197525],[ 1.32895749 -0.21354808],[-0.47978443  1.51439116]
1763500373.6584568,0.05741477012634277,[-0.24784856 -0.04479167],[-0.14870914 -0.026875  ],[ 1.29907413 -0.21894866],[-0.23245097  1.60297169]
1763500373.7164361,0.05797934532165527,[-0.24322915 -0.00208333],[-0.14593749 -0.00125   ],[ 1.26945937 -0.21920232],[0.17528133 1.62054837]
1763500373.7749722,0.05853605270385742,[-0.24140625  0.01458333],[-0.14484375  0.00875   ],[ 1.23978434 -0.21740965],[0.06851131 0.62639459]
1763500373.832386,0.05741381645202637,[-0.23559084  0.06776352],[-0.1413545   0.04065811],[ 1.21137938 -0.20923947],[0.22283666 2.03777446]
1763500373.8894145,0.05702853202819824,[-0.22438822  0.10654246],[-0.13463293  0.06392548],[ 1.18450667 -0.19647995],[0.43216556 1.49598222]
1763500373.9469504,0.05753588676452637,[-0.2186182   0.12435563],[-0.13117092  0.07461338],[ 1.15809205 -0.18145464],[0.22062812 0.68112242]
1763500374.006111,0.059160470962524414,[-0.20913916  0.15719341],[-0.12548349  0.09431604],[ 1.13210923 -0.1619254 ],[0.35249721 1.221138  ]
